Format,2.0A,
Memory Length,5000,
Trigger Level,35.0mV,
Source,CH1,
Label, ,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,2.000E-02,
Vertical Position,-1.136E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-05,
Horizontal Position,4.530E-05,
Horizontal Mode,Main,
Sampling Period,2.000E-08,
Firmware,V1.13,
Time,15-Nov-18 23:37:02,
Mode,Detail,
Waveform Data,
-8.688000e-05,7.44e-02,
-8.686000e-05,7.60e-02,
-8.684000e-05,7.44e-02,
-8.682000e-05,7.60e-02,
-8.680000e-05,7.44e-02,
-8.678000e-05,7.60e-02,
-8.676000e-05,7.44e-02,
-8.674000e-05,7.60e-02,
-8.672000e-05,7.36e-02,
-8.670000e-05,7.52e-02,
-8.668000e-05,7.44e-02,
-8.666000e-05,7.60e-02,
-8.664000e-05,7.44e-02,
-8.662000e-05,7.60e-02,
-8.660000e-05,7.44e-02,
-8.658000e-05,7.60e-02,
-8.656000e-05,7.36e-02,
-8.654000e-05,7.60e-02,
-8.652000e-05,7.36e-02,
-8.650000e-05,7.60e-02,
-8.648000e-05,7.36e-02,
-8.646000e-05,7.60e-02,
-8.644000e-05,7.36e-02,
-8.642000e-05,7.68e-02,
-8.640000e-05,7.28e-02,
-8.638000e-05,7.44e-02,
-8.636000e-05,7.60e-02,
-8.634000e-05,7.60e-02,
-8.632000e-05,7.52e-02,
-8.630000e-05,7.52e-02,
-8.628000e-05,7.60e-02,
-8.626000e-05,7.60e-02,
-8.624000e-05,7.60e-02,
-8.622000e-05,7.68e-02,
-8.620000e-05,7.52e-02,
-8.618000e-05,7.76e-02,
-8.616000e-05,7.44e-02,
-8.614000e-05,7.76e-02,
-8.612000e-05,7.44e-02,
-8.610000e-05,7.68e-02,
-8.608000e-05,7.44e-02,
-8.606000e-05,7.68e-02,
-8.604000e-05,7.52e-02,
-8.602000e-05,7.68e-02,
-8.600000e-05,7.44e-02,
-8.598000e-05,7.68e-02,
-8.596000e-05,7.52e-02,
-8.594000e-05,7.68e-02,
-8.592000e-05,7.44e-02,
-8.590000e-05,7.68e-02,
-8.588000e-05,7.36e-02,
-8.586000e-05,7.44e-02,
-8.584000e-05,7.84e-02,
-8.582000e-05,7.28e-02,
-8.580000e-05,7.68e-02,
-8.578000e-05,7.68e-02,
-8.576000e-05,7.44e-02,
-8.574000e-05,7.60e-02,
-8.572000e-05,7.44e-02,
-8.570000e-05,7.60e-02,
-8.568000e-05,7.44e-02,
-8.566000e-05,7.68e-02,
-8.564000e-05,7.44e-02,
-8.562000e-05,7.68e-02,
-8.560000e-05,7.36e-02,
-8.558000e-05,7.68e-02,
-8.556000e-05,7.36e-02,
-8.554000e-05,7.60e-02,
-8.552000e-05,7.44e-02,
-8.550000e-05,7.60e-02,
-8.548000e-05,7.36e-02,
-8.546000e-05,7.60e-02,
-8.544000e-05,7.44e-02,
-8.542000e-05,7.60e-02,
-8.540000e-05,7.44e-02,
-8.538000e-05,7.60e-02,
-8.536000e-05,7.44e-02,
-8.534000e-05,7.44e-02,
-8.532000e-05,7.76e-02,
-8.530000e-05,7.60e-02,
-8.528000e-05,7.68e-02,
-8.526000e-05,7.68e-02,
-8.524000e-05,7.68e-02,
-8.522000e-05,7.84e-02,
-8.520000e-05,7.60e-02,
-8.518000e-05,7.84e-02,
-8.516000e-05,7.52e-02,
-8.514000e-05,7.76e-02,
-8.512000e-05,7.60e-02,
-8.510000e-05,7.76e-02,
-8.508000e-05,7.52e-02,
-8.506000e-05,7.76e-02,
-8.504000e-05,7.60e-02,
-8.502000e-05,7.76e-02,
-8.500000e-05,7.60e-02,
-8.498000e-05,7.84e-02,
